epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
30,156.901,0.34983,0.43208,0.32403,0.81782,0,0.99944,1,0.995,0.9916,0.99944,1,0.995,0.98093,0.23727,0.31077,0.26369,0.78318,0,0.0008516,0.0008516,0.0008516
31,161.745,0.3673,0.47686,0.32972,0.82,0,0.9994,1,0.995,0.97015,0.9994,1,0.995,0.97149,0.23516,0.30965,0.29359,0.78505,0,0.000812,0.000812,0.000812
32,166.817,0.35239,0.41349,0.32726,0.81716,0,0.99943,1,0.995,0.98299,0.99943,1,0.995,0.97487,0.26163,0.32858,0.26343,0.78634,0,0.0007724,0.0007724,0.0007724
33,171.61,0.3622,0.42395,0.31526,0.82919,0,0.99945,1,0.995,0.98481,0.99945,1,0.995,0.97906,0.23833,0.33355,0.24992,0.78275,0,0.0007328,0.0007328,0.0007328
34,176.423,0.34759,0.44627,0.30587,0.82155,0,0.99945,1,0.995,0.97239,0.99945,1,0.995,0.97424,0.27494,0.30741,0.26736,0.78587,0,0.0006932,0.0006932,0.0006932
35,181.263,0.35349,0.48044,0.31375,0.82765,0,0.99931,1,0.995,0.97865,0.99931,1,0.995,0.97072,0.22444,0.31345,0.2995,0.78324,0,0.0006536,0.0006536,0.0006536
36,187.886,0.33586,0.44494,0.30069,0.82615,0,0.99944,1,0.995,0.98982,0.99944,1,0.995,0.97242,0.21515,0.35761,0.24003,0.77954,0,0.000614,0.000614,0.000614
37,196.809,0.34105,0.42342,0.30114,0.82225,0,0.99944,1,0.995,0.97703,0.99944,1,0.995,0.97357,0.277,0.36432,0.24884,0.78606,0,0.0005744,0.0005744,0.0005744
38,201.742,0.3399,0.42833,0.29696,0.82995,0,0.99941,1,0.995,0.98146,0.99941,1,0.995,0.96982,0.22353,0.3197,0.24409,0.78166,0,0.0005348,0.0005348,0.0005348
39,206.68,0.32226,0.40059,0.28126,0.82055,0,0.99945,1,0.995,0.98203,0.99945,1,0.995,0.97605,0.24918,0.31827,0.23756,0.78141,0,0.0004952,0.0004952,0.0004952
40,211.483,0.33187,0.41053,0.28419,0.82979,0,0.99944,1,0.995,0.9872,0.99944,1,0.995,0.9715,0.20734,0.32411,0.22648,0.7799,0,0.0004556,0.0004556,0.0004556
41,217.564,0.251,0.32802,0.24997,0.77561,0,0.99946,1,0.995,0.99137,0.99946,1,0.995,0.97494,0.18404,0.31469,0.21693,0.77671,0,0.000416,0.000416,0.000416
42,222.191,0.24004,0.30251,0.24372,0.77294,0,0.99946,1,0.995,0.99247,0.99946,1,0.995,0.9775,0.20302,0.31834,0.23014,0.77793,0,0.0003764,0.0003764,0.0003764
43,226.754,0.23853,0.3029,0.24185,0.8007,0,0.99946,1,0.995,0.98841,0.99946,1,0.995,0.97554,0.19373,0.31943,0.21299,0.77696,0,0.0003368,0.0003368,0.0003368
44,231.311,0.24874,0.31186,0.24111,0.78503,0,0.99945,1,0.995,0.98559,0.99945,1,0.995,0.97918,0.21364,0.31626,0.22601,0.77891,0,0.0002972,0.0002972,0.0002972
45,235.881,0.24812,0.30289,0.23781,0.77825,0,0.99946,1,0.995,0.98798,0.99946,1,0.995,0.97775,0.19971,0.33676,0.20828,0.77932,0,0.0002576,0.0002576,0.0002576
